GPS-Reading took: 0.001000 [s] 	 Scanning took 4.637000 [s] 	 Evaluation took 0.126000 [s] 	 Writing to file took: 0.051000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.626000 [s] 	 Evaluation took 0.121000 [s] 	 Writing to file took: 0.047000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.531000 [s] 	 Evaluation took 0.103000 [s] 	 Writing to file took: 0.053000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.541000 [s] 	 Evaluation took 0.094000 [s] 	 Writing to file took: 0.040000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.568000 [s] 	 Evaluation took 0.119000 [s] 	 Writing to file took: 0.048000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.528000 [s] 	 Evaluation took 0.087000 [s] 	 Writing to file took: 0.047000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.566000 [s] 	 Evaluation took 0.119000 [s] 	 Writing to file took: 0.038000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.547000 [s] 	 Evaluation took 0.108000 [s] 	 Writing to file took: 0.046000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 0.965000 [s] 	 Evaluation took 0.070000 [s] 	 Writing to file took: 0.010000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.727000 [s] 	 Evaluation took 1.844000 [s] 	 Writing to file took: 0.040000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.560000 [s] 	 Evaluation took 0.016000 [s] 	 Writing to file took: 0.044000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.535000 [s] 	 Evaluation took 0.972000 [s] 	 Writing to file took: 0.052000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.594000 [s] 	 Evaluation took 0.927000 [s] 	 Writing to file took: 0.017000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.564000 [s] 	 Evaluation took 0.872000 [s] 	 Writing to file took: 0.049000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.587000 [s] 	 Evaluation took 0.110000 [s] 	 Writing to file took: 0.046000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.542000 [s] 	 Evaluation took 0.098000 [s] 	 Writing to file took: 0.043000 [s]
